hex,header,length,version,type,counter,cmd_id,separator,payload,coord_payload,duration_field,motion_mode,float_marker,tail
551204c702034caa4003da05ffffffffbafc,85,18,4,199,2,034c,170,4003da05ffffffffbafc,,,,,
550e046602044daa400032115236,85,14,4,102,2,044d,170,400032115236,,,,,
551604fc02274eaa40004f0400000000ffffffff6920,85,22,4,252,2,274e,170,40004f0400000000ffffffff6920,40004f0400000000ffffffff6920,,,,
551604fc022750aa40004f04000000000000000029e4,85,22,4,252,2,2750,170,40004f04000000000000000029e4,40004f04000000000000000029e4,,,,
550f04a2022751aa00000002005bc2,85,15,4,162,2,2751,170,00000002005bc2,,,,,
550e0466020452aa400032116b49,85,14,4,102,2,0452,170,400032116b49,,,,,
5514046d02046eaa00ee0236480000803f028605,85,20,4,109,2,046e,170,00ee0236480000803f028605,,00ee02,54.0,48000080,3f028605
5514046d02276faa00ee0236480000803f02843b,85,20,4,109,2,276f,170,00ee0236480000803f02843b,,00ee02,54.0,48000080,3f02843b
5514046d020474aa00ee0236480000803f020918,85,20,4,109,2,0474,170,00ee0236480000803f020918,,00ee02,54.0,48000080,3f020918
5514046d022775aa00ee0236480000803f020b26,85,20,4,109,2,2775,170,00ee0236480000803f020b26,,00ee02,54.0,48000080,3f020b26
5514046d02047eaa00ee0236480000803f025e10,85,20,4,109,2,047e,170,00ee0236480000803f025e10,,00ee02,54.0,48000080,3f025e10
5514046d02277faa00ee0236480000803f025c2e,85,20,4,109,2,277f,170,00ee0236480000803f025c2e,,00ee02,54.0,48000080,3f025c2e
5514046d020484aa00ee0236480000803f02c1df,85,20,4,109,2,0484,170,00ee0236480000803f02c1df,,00ee02,54.0,48000080,3f02c1df
5514046d022785aa00ee0236480000803f02c3e1,85,20,4,109,2,2785,170,00ee0236480000803f02c3e1,,00ee02,54.0,48000080,3f02c3e1
5514046d020493aa00ee0236480000803f005ce1,85,20,4,109,2,0493,170,00ee0236480000803f005ce1,,00ee02,54.0,48000080,3f005ce1
5514046d022794aa00ee0236480000803f005c52,85,20,4,109,2,2794,170,00ee0236480000803f005c52,,00ee02,54.0,48000080,3f005c52
5514046d022795aa00ff0236480000803fffffff,85,20,4,109,2,2795,170,00ff0236480000803fffffff,,00ff02,54.0,48000080,3fffffff
5514046d022795aa00ff0236480000803fdeadbe,85,20,4,109,2,2795,170,00ff0236480000803fdeadbe,,00ff02,54.0,48000080,3fdeadbe
5514046d022795aa00ff0236480000803f123456,85,20,4,109,2,2795,170,00ff0236480000803f123456,,00ff02,54.0,48000080,3f123456
5514046d022795aa01dc0236480000803fffffff,85,20,4,109,2,2795,170,01dc0236480000803fffffff,,01dc02,54.0,48000080,3fffffff
5514046d022795aa01dc0236480000803fdeadbe,85,20,4,109,2,2795,170,01dc0236480000803fdeadbe,,01dc02,54.0,48000080,3fdeadbe
5514046d022795aa01dc0236480000803f123456,85,20,4,109,2,2795,170,01dc0236480000803f123456,,01dc02,54.0,48000080,3f123456
5514046d022795aa02000236480000803fffffff,85,20,4,109,2,2795,170,02000236480000803fffffff,,020002,54.0,48000080,3fffffff
5514046d022795aa02000236480000803fdeadbe,85,20,4,109,2,2795,170,02000236480000803fdeadbe,,020002,54.0,48000080,3fdeadbe
5514046d022795aa02000236480000803f123456,85,20,4,109,2,2795,170,02000236480000803f123456,,020002,54.0,48000080,3f123456
5514046d022796aa00ff0236480000803fffffff,85,20,4,109,2,2796,170,00ff0236480000803fffffff,,00ff02,54.0,48000080,3fffffff
5514046d022796aa00ff0236480000803fdeadbe,85,20,4,109,2,2796,170,00ff0236480000803fdeadbe,,00ff02,54.0,48000080,3fdeadbe
5514046d022796aa00ff0236480000803f123456,85,20,4,109,2,2796,170,00ff0236480000803f123456,,00ff02,54.0,48000080,3f123456
5514046d022796aa01dc0236480000803fffffff,85,20,4,109,2,2796,170,01dc0236480000803fffffff,,01dc02,54.0,48000080,3fffffff
5514046d022796aa01dc0236480000803fdeadbe,85,20,4,109,2,2796,170,01dc0236480000803fdeadbe,,01dc02,54.0,48000080,3fdeadbe
5514046d022796aa01dc0236480000803f123456,85,20,4,109,2,2796,170,01dc0236480000803f123456,,01dc02,54.0,48000080,3f123456
5514046d022796aa02000236480000803fffffff,85,20,4,109,2,2796,170,02000236480000803fffffff,,020002,54.0,48000080,3fffffff
5514046d022796aa02000236480000803fdeadbe,85,20,4,109,2,2796,170,02000236480000803fdeadbe,,020002,54.0,48000080,3fdeadbe
5514046d022796aa02000236480000803f123456,85,20,4,109,2,2796,170,02000236480000803f123456,,020002,54.0,48000080,3f123456
5514046d020450aa00ff0236480000803fdeadbe,85,20,4,109,2,0450,170,00ff0236480000803fdeadbe,,00ff02,54.0,48000080,3fdeadbe
5514046d020451aa00ff0236480000803f123456,85,20,4,109,2,0451,170,00ff0236480000803f123456,,00ff02,54.0,48000080,3f123456
5514046d020452aa01dc0236480000803fdeadbe,85,20,4,109,2,0452,170,01dc0236480000803fdeadbe,,01dc02,54.0,48000080,3fdeadbe
5514046d020453aa01dc0236480000803f123456,85,20,4,109,2,0453,170,01dc0236480000803f123456,,01dc02,54.0,48000080,3f123456
